PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,32.5950038,129.3000195,0.22,-306.869,5.06,1,4929,34,90
2,32.5950038,129.3000233,0.22,-306.869,6.06,1,4929,34,90
11,32.5950038,129.3000272,0.22,-306.869,7.06,1,4929,34,90
12,32.5950038,129.3000311,0.22,-306.869,8.06,1,4929,34,90
13,32.5950038,129.3000349,0.22,-306.869,9.06,1,4929,34,90
14,32.5950038,129.3000388,0.22,-306.869,10.06,1,4929,34,90
15,32.5950038,129.3000426,0.22,-306.869,11.06,1,4929,34,90
16,32.5950038,129.3000465,0.22,-306.869,12.06,1,4929,34,90
17,32.5950038,129.3000503,0.22,-306.869,13.06,1,4929,34,90
18,32.5950038,129.3000542,0.22,-306.869,14.06,1,4929,34,90
19,32.5950038,129.300058,0.22,-306.869,15.06,1,4929,34,90
20,32.5950038,129.3000619,0.22,-306.869,16.06,1,4929,34,90
21,32.5950038,129.3000657,0.22,-306.869,17.06,1,4929,34,90
22,32.5950038,129.3000696,0.22,-306.869,18.06,1,4929,34,90
23,32.5950038,129.3000734,0.22,-306.869,19.06,1,4929,34,90
24,32.5950038,129.3000773,0.22,-306.869,20.06,1,4929,34,90
25,32.5950038,129.3000811,0.22,-306.869,21.06,1,4929,34,90
26,32.5950038,129.300085,0.22,-306.869,22.06,1,4929,34,90
27,32.5950038,129.3000888,0.22,-306.869,23.06,1,4929,34,90
28,32.5950038,129.3000927,0.22,-306.869,24.06,1,4929,34,90
29,32.5950038,129.3000965,0.22,-306.869,25.06,1,4929,34,90
30,32.5950038,129.3001004,0.22,-306.869,26.06,1,4929,34,90
31,32.5950038,129.3001042,0.22,-306.869,27.06,1,4929,34,90
32,32.5950038,129.3001081,0.22,-306.869,28.06,1,4929,34,90
33,32.5950038,129.300112,0.22,-306.869,29.06,1,4929,34,90
34,32.5950038,129.3001158,0.22,-306.869,30.06,1,4929,34,90
35,32.5950038,129.3001197,0.22,-306.869,31.06,1,4929,34,90
36,32.5950038,129.3001235,0.22,-306.869,32.06,1,4929,34,90
37,32.5950038,129.3001274,0.22,-306.869,33.06,1,4929,34,90
