framework,infraction points,avg. route points,total avg,weather ,infraction
autoware,0,51.7483406419163,51.7483406419163,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:TIMEOUT] [Score = 39.67 : (route_score=39.6662613581, infractions=-0.0)]
==================================


==================================
==[r1:TIMEOUT] [Score = 63.83 : (route_score=63.8304199257, infractions=-0.0)]
==================================

"
autoware,0.0,51.7483406419163,51.7483406419163,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:TIMEOUT] [Score = 39.67 : (route_score=39.6662613581, infractions=-0.0)]
==================================


==================================
==[r1:TIMEOUT] [Score = 63.83 : (route_score=63.8304199257, infractions=-0.0)]
==================================

"
autoware,0.0,51.7483406419163,51.7483406419163,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:TIMEOUT] [Score = 39.67 : (route_score=39.6662613581, infractions=-0.0)]
==================================


==================================
==[r1:TIMEOUT] [Score = 63.83 : (route_score=63.8304199257, infractions=-0.0)]
==================================

"
autoware,0.0,0.0,0.0,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)",
autoware,29.0,100.0,71.0,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 71.00 : (route_score=100.0, infractions=-29.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.audi.etron and id=347
========== Agent collided against object with type=vehicle.seat.leon and id=300
========== Agent collided against object with type=vehicle.chevrolet.impala and id=251
========== Agent collided against object with type=vehicle.audi.a2 and id=317
===== Red lights:
========== Agent ran a red light 141 at (x=39.2700004578, y=227.129989624, x=0.219999998808)
===== Sidewalk invasions:
========== Agent invaded the sidewalk
==================================

"
autoware,22.0,34.594010105005026,12.594010105005026,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:FAILURE] [Score = 12.59 : (route_score=34.594010105, infractions=-22.0)]
===== Collisions:
========== Agent collided against object with type=vehicle.nissan.patrol and id=568
========== Agent collided against object with type=vehicle.volkswagen.t2 and id=569
========== Agent collided against object with type=vehicle.citroen.c3 and id=533
===== Sidewalk invasions:
========== Agent invaded the sidewalk
========== Agent invaded the sidewalk
===== Route deviation:
========== Agent deviated from the route at (x=185.317947388, y=202.659744263, z=0.322289198637)
==================================

"
autoware,0.0,100.0,100.0,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)","
==================================
==[r0:SUCCESS] [Score = 100.00 : (route_score=100.0, infractions=-0.0)]
==================================

"
autoware,0.0,0.0,0.0,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)",
autoware,0.0,0.0,0.0,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)",
autoware,0.0,0.0,0.0,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)",
autoware,0.0,0.0,0.0,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)",
autoware,0.0,0.0,0.0,"WeatherParameters(cloudyness=0, precipitation=0, precipitation_deposits=0, wind_intensity=0.35, sun_azimuth_angle=0, sun_altitude_angle=75)",
